Disease,Symptoms
Common cold,"runny nose, cough, sore throat, sneezing, fever"
Fever,"sweating, high temperature, dizziness"
Diarrhea,"diarrhea, dizziness"
Constipation,constipation
Allergies,"runny nose, cough, sneezing, hives"
Skin infections,"redness, swelling, skin infection"
Urinary tract infections,"painful urination, cloudy urine, bloody urine"
Indigestion,"upper abdomen pain, indigestion"
Anemia,"fatigue, shortness of breath, pale skin"
Bronchitis,"cough, shortness of breath, chest pain"
Cough,cough
Eye infection,"red eyes, swollen eyes, eye discharge"
Flu,"fever, cough, sore throat, runny nose, muscle aches, fatigue"
Heartburn,"chest burning sensation, heartburn"
Measles,"rash, fever, cough"
Meningitis,"fever, headache, neck pain, nausea, vomiting"
Migraine,"headache, vomiting, sensitivity to light, sensitivity to sound"
Nausea,nausea
Pink eye,"red and swollen eyes, eye discharge"
Rash,"red raised skin rash, skin discoloration"
Tonsillitis,"sore throat, fever, swollen tonsils"
Upper respiratory infection,"runny nose, cough, sore throat, sneezing"
Warts,skin warts
Acne,"pimples, redness, skin inflammation"
Allergic rhinitis,"runny nose, itchy eyes, sneezing"
Conjunctivitis,"red eyes, itchy eyes, eye discharge"
Depression,"sadness, loss of interest, fatigue"
Eczema,"itchy skin, red skin, skin rash"
Gout,"joint pain, joint swelling"
Irritable bowel syndrome,"abdominal cramping, diarrhea, constipation"
Psoriasis,"skin scales, red skin, skin itching"
Sinus infection,"nasal congestion, cough, sore throat"
Thyroid problems,"fatigue, weight changes, hair loss"
Asthma,"shortness of breath, wheezing, chest tightness, cough"
Hypertension (High Blood Pressure),"high blood pressure, headache, dizziness"
Diabetes,"frequent urination, excessive thirst, unexplained weight loss"
Arthritis,"joint pain, joint stiffness, joint swelling"
Osteoporosis,"brittle bones, fractures, loss of height"
Pneumonia,"fever, cough with mucus, shortness of breath"
Kidney Stones,"abdominal or side pain, blood in urine, painful urination"
Appendicitis,"abdominal pain, loss of appetite, nausea, vomiting"
Alzheimer's Disease,"memory loss, confusion, difficulty with tasks"
Parkinson's Disease,"tremors, muscle rigidity, balance problems"
Dizziness,"dizziness, lightheadedness"
Shortness of Breath,"breathlessness, difficulty breathing, labored breathing"
Fatigue,"extreme tiredness, lack of energy, exhaustion"
Frequent Urination,"urinating often, increased urinary frequency, frequent pee"
Hair Loss,"losing hair, baldness, thinning hair"
Weight Gain,"gaining weight, unexplained weight increase, putting on pounds"
Weight Loss,"losing weight, unexplained weight decrease, shedding pounds"
Frequent Headaches,"recurring headaches, chronic headaches, persistent head pain"
Memory Problems,"forgetfulness, memory difficulties, memory lapses"
Confusion,"feeling disoriented, mental confusion, cognitive fog"
Balance Problems,"difficulty maintaining balance, unsteady gait, poor balance"
Tremors,"shaking, trembling, muscle tremors"
Muscle Rigidity,"stiff muscles, muscle stiffness, muscle tightness"
Swelling of Limbs,"swollen arms or legs, edema, limb puffiness"
Brittle Nails,"fragile nails, nail breakage, easily broken nails"
Loss of Height,"shrinking in height, decreasing height, height loss"
Heart Palpitations,"rapid heartbeat, fluttering sensation in chest, heart racing"
Chest Congestion,"congested chest, chest mucus, chest congestion"
Abdominal Cramps,"stomach cramps, abdominal discomfort, cramping"
Skin Itching,"itchy skin, skin irritation, skin pruritus"
Joint Swelling,"swollen joints, enlarged joints, joint inflammation"
Skin Discoloration,"abnormal skin color, skin pigmentation changes, skin discoloration"
Nasal Congestion,"blocked nose, nasal stuffiness, nasal blockage"
Sore Throat,"painful throat, throat irritation, throat discomfort"
Muscle Aches,"sore muscles, muscle soreness, aching muscles"
Blood in Stools,"bloody stools, stool discoloration, blood in bowel movements"
Loss of Appetite,"lack of hunger, appetite loss, decreased appetite"
Hand Tremors,"shaking hands, hand trembling, hand shakiness"
